f1_mean,f1_std,f1_min,f1_max,f1_range,f2_mean,f2_std,f2_min,f2_max,f2_range,f3_mean,f3_std,f3_min,f3_max,f3_range,f4_mean,f4_std,f4_min,f4_max,f4_range,f5_mean,f5_std,f5_min,f5_max,f5_range,pitch3_mean,pitch3_std,pitch3_min,pitch3_max,pitch3_range,actividad
109.9,4.158124577258358,23.0,111.0,88.0,33.60795454545455,5.496666791439672,21.0,41.0,20.0,34.660227272727276,5.10318616545156,23.0,41.0,18.0,28.052272727272726,3.7269893184935867,23.0,36.0,13.0,24.014772727272728,1.594310892227228,20.0,30.0,10.0,44.556245243101465,82.01777446821546,-53.9497059895183,145.204694020005,199.1544000095233,000
109.91704545454546,4.1605485212810445,23.0,111.0,88.0,33.075,5.342693609032806,21.0,39.0,18.0,34.64090909090909,5.219775255603278,23.0,41.0,18.0,27.85909090909091,3.814524763788239,23.0,35.0,12.0,23.90681818181818,1.5182073351149026,20.0,28.0,8.0,51.512760225610066,81.84198788969331,-53.9497059895183,146.774598378663,200.7243043681813,000
109.97613636363636,0.15262425502894514,109.0,110.0,1.0,31.211363636363636,7.711317418075465,20.0,43.0,23.0,31.864772727272726,6.866826377141164,22.0,40.0,18.0,28.34431818181818,5.437106473838013,22.0,38.0,16.0,23.380681818181817,2.40583372217623,18.0,27.0,9.0,36.79438599246419,81.62980425635644,-63.1685969131733,146.654277241686,209.8228741548593,000
109.97272727272727,0.162877026065172,109.0,110.0,1.0,29.777272727272727,6.923473367542797,20.0,38.0,18.0,31.067045454545454,6.448841009171357,22.0,40.0,18.0,27.428409090909092,5.021713055767206,22.0,37.0,15.0,23.29431818181818,2.1686746033289475,18.0,28.0,10.0,33.169614077757295,79.42133906571551,-63.1685969131733,145.038536259417,208.2071331725903,000
109.9715909090909,0.16613853996833458,109.0,110.0,1.0,29.40568181818182,6.788373381855744,20.0,39.0,19.0,30.803409090909092,6.252907484879559,22.0,40.0,18.0,26.83068181818182,4.712383539784623,22.0,36.0,14.0,23.244318181818183,2.2300814270980336,19.0,31.0,12.0,39.57727455783479,78.88620927991782,-63.1685969131733,144.689032004387,207.8576289175603,000
23.807954545454546,1.358702722762774,23.0,29.0,6.0,42.14772727272727,11.013462601338164,26.0,61.0,35.0,34.70227272727273,8.769005039351118,23.0,49.0,26.0,50.81590909090909,9.418319749340986,31.0,67.0,36.0,27.079545454545453,2.8869675459849296,22.0,36.0,14.0,44.56945582680965,98.24747962409118,-177.714319315727,179.794156112052,357.508475427779,000
23.722727272727273,1.2451476065043339,23.0,28.0,5.0,41.282954545454544,10.57573038086935,26.0,57.0,31.0,34.314772727272725,8.5094738616963,23.0,47.0,24.0,50.39204545454545,9.005537710346859,31.0,67.0,36.0,26.761363636363637,2.647873581599437,22.0,34.0,12.0,57.57508992732457,97.44909591510093,-178.103930616416,179.794156112052,357.898086728468,000
23.70909090909091,1.2105254647575352,23.0,28.0,5.0,41.45,9.872125588563167,26.0,57.0,31.0,34.73522727272727,7.931332281939078,23.0,47.0,24.0,50.84431818181818,8.188383650504612,31.0,65.0,34.0,26.443181818181817,2.256092531878224,23.0,33.0,10.0,59.41459046124418,100.67991820491153,-179.627998351464,179.794156112052,359.422154463516,000
18.98409090909091,9.816601040672658,0.0,28.0,28.0,33.064772727272725,19.364250917211095,0.0,56.0,56.0,28.06477272727273,16.549557394333757,0.0,48.0,48.0,40.018181818181816,22.64864307321415,0.0,68.0,68.0,22.736363636363638,12.457876130623164,0.0,47.0,47.0,36.90833297397084,81.38572337725901,-173.78382884113,176.700184018346,350.484012859476,000
19.490909090909092,9.386882001975325,0.0,28.0,28.0,33.62045454545454,18.639316700622793,0.0,56.0,56.0,28.525,15.87964141168296,0.0,48.0,48.0,41.03409090909091,21.927332913945744,0.0,68.0,68.0,23.40340909090909,12.11984612923287,0.0,47.0,47.0,41.74035951743857,80.89611781033902,-173.78382884113,176.700184018346,350.484012859476,000
19.095454545454544,9.885824436706754,0.0,29.0,29.0,33.09090909090909,19.394139440256147,0.0,56.0,56.0,27.9625,16.401488378276138,0.0,48.0,48.0,40.226136363636364,22.83891214133429,0.0,68.0,68.0,22.571590909090908,12.419536011531813,0.0,47.0,47.0,37.89148297422709,80.36913465207678,-170.941958177281,174.92401485344,345.865973030721,000
27.832954545454545,4.843041437110594,22.0,38.0,16.0,27.523863636363636,4.79363911672593,19.0,37.0,18.0,27.98409090909091,4.009049036062508,22.0,35.0,13.0,29.631818181818183,5.061071245177283,22.0,41.0,19.0,21.679545454545455,3.164366915388702,17.0,29.0,12.0,33.924192983060564,76.29747466256666,-64.7671491615883,175.14173881559,239.90888797717832,000
28.272727272727273,5.162864058761977,22.0,38.0,16.0,27.401136363636365,4.975782129433198,20.0,37.0,17.0,27.754545454545454,4.13892028879813,22.0,35.0,13.0,29.9875,5.474409733644184,22.0,41.0,19.0,22.071590909090908,3.255849591107881,17.0,29.0,12.0,30.106737966204776,71.745205003883,-64.7671491615883,149.91440709598,214.68155625756833,000
28.023863636363636,5.284464673975584,22.0,36.0,14.0,26.79659090909091,4.953487037698255,20.0,35.0,15.0,27.24772727272727,4.177319096587038,22.0,34.0,12.0,29.538636363636364,5.700347513692433,22.0,40.0,18.0,22.115909090909092,3.52171466384682,17.0,29.0,12.0,33.8046987283556,71.87580886302428,-67.3511888176283,149.91440709598,217.2655959136083,000
25.95909090909091,7.284052261987959,0.0,36.0,36.0,25.452272727272728,7.361447135286637,0.0,37.0,37.0,26.845454545454544,7.673669696538303,0.0,37.0,37.0,28.706818181818182,8.563423745189153,0.0,41.0,41.0,20.67159090909091,5.233425109629369,0.0,28.0,28.0,26.314493092334743,77.45286787994965,-175.835017747698,179.685294130977,355.520311878675,000
25.82840909090909,5.907149921601872,0.0,36.0,36.0,25.331818181818182,5.883828868072246,0.0,32.0,32.0,26.865909090909092,6.3518230447435755,0.0,37.0,37.0,28.672727272727272,7.173162217484497,0.0,41.0,41.0,20.907954545454544,4.11863066362941,0.0,28.0,28.0,37.04240509803146,79.87830769878963,-175.835017747698,179.685294130977,355.520311878675,000
25.232954545454547,6.8471331358278755,0.0,36.0,36.0,25.073863636363637,6.957353766767248,0.0,33.0,33.0,26.636363636363637,7.551011097531331,0.0,37.0,37.0,28.240909090909092,8.156907785925938,0.0,41.0,41.0,20.513636363636362,5.040048291123758,0.0,27.0,27.0,35.054248059811535,83.33615304906375,-177.651293958263,179.685294130977,357.33658808924,000
25.857954545454547,4.6764939662225276,22.0,35.0,13.0,23.696590909090908,2.9391537458485457,19.0,28.0,9.0,25.788636363636364,3.4086598212287926,22.0,32.0,10.0,28.385227272727274,5.239752765088845,22.0,38.0,16.0,20.436363636363637,2.9011040930441783,17.0,28.0,11.0,27.195819377158593,69.11908389578778,-172.500403380037,172.540510425696,345.040913805733,000
27.317045454545454,5.107541696330248,22.0,35.0,13.0,23.918181818181818,3.2627562753593313,19.0,30.0,11.0,25.90340909090909,3.620457933856772,22.0,32.0,10.0,29.173863636363638,5.773607551888432,22.0,38.0,16.0,21.54659090909091,3.352761713180927,17.0,29.0,12.0,28.44126034078808,65.13457890954517,-62.3893743117953,130.044230760843,192.4336050726383,000
27.539772727272727,5.227615477893409,22.0,35.0,13.0,24.335227272727273,3.5710496220148724,19.0,31.0,12.0,26.081818181818182,3.8144624741819326,22.0,33.0,11.0,29.244318181818183,5.869845087675294,22.0,38.0,16.0,21.803409090909092,3.419029263602741,17.0,29.0,12.0,26.868771161167498,65.45599429474221,-62.3893743117953,130.044230760843,192.4336050726383,000
26.777272727272727,4.619172674662326,22.0,34.0,12.0,23.447727272727274,3.199004719963243,19.0,32.0,13.0,25.017045454545453,3.038529907362092,22.0,33.0,11.0,28.589772727272727,5.6561418703421875,22.0,40.0,18.0,21.12159090909091,3.310793260604293,17.0,30.0,13.0,18.778281549718486,71.87924134997131,-179.249846206678,177.467947463821,356.71779367049896,000
26.282954545454544,4.527258893507525,22.0,34.0,12.0,22.73409090909091,2.568997255900918,19.0,27.0,8.0,24.452272727272728,2.6107286196806885,22.0,30.0,8.0,27.85909090909091,5.392390184401203,22.0,38.0,16.0,20.607954545454547,3.1202681116921624,17.0,28.0,11.0,22.155516164276776,72.78434051377688,-179.249846206678,177.467947463821,356.71779367049896,000
26.03409090909091,4.56505716293087,22.0,34.0,12.0,22.494318181818183,2.394589448325758,19.0,27.0,8.0,24.25,2.5470571253900056,22.0,30.0,8.0,27.423863636363638,5.1479142801673,22.0,38.0,16.0,20.22840909090909,2.8937805118609887,17.0,28.0,11.0,24.092719024034263,71.36257058580755,-179.249846206678,177.467947463821,356.71779367049896,000
20.739772727272726,3.516100622096976,16.0,27.0,11.0,25.178409090909092,3.4517765144012293,22.0,34.0,12.0,35.476136363636364,11.670548541269696,22.0,53.0,31.0,37.35568181818182,10.938447184488814,21.0,54.0,33.0,34.720454545454544,8.26886492005497,23.0,49.0,26.0,-8.31863098805564,64.89466206290925,-78.5639728683385,118.487672033054,197.05164490139248,000
